,True_Class,Pred_Class,C2,noise_level,fd_order,experiment,Correct_Classification
0,non unique,,1.0,0.0,8,algebraic_nonunique_kdv,False
1,non unique,non unique,1.0,1e-10,8,algebraic_nonunique_kdv,True
2,non unique,non unique,1.0,1e-09,8,algebraic_nonunique_kdv,True
3,non unique,non unique,1.0,1e-08,8,algebraic_nonunique_kdv,True
4,non unique,non unique,1.0,1e-07,8,algebraic_nonunique_kdv,True
5,non unique,non unique,1.0,1e-06,8,algebraic_nonunique_kdv,True
6,non unique,,1.0,1e-05,8,algebraic_nonunique_kdv,False
7,non unique,,1.0,0.0001,8,algebraic_nonunique_kdv,False
8,non unique,,1.0,0.001,8,algebraic_nonunique_kdv,False
9,non unique,,1.0,0.01,8,algebraic_nonunique_kdv,False
10,non unique,,0.5,0.0,8,algebraic_nonunique_kdv,False
11,non unique,non unique,0.5,1e-10,8,algebraic_nonunique_kdv,True
12,non unique,non unique,0.5,1e-09,8,algebraic_nonunique_kdv,True
13,non unique,non unique,0.5,1e-08,8,algebraic_nonunique_kdv,True
14,non unique,non unique,0.5,1e-07,8,algebraic_nonunique_kdv,True
15,non unique,non unique,0.5,1e-06,8,algebraic_nonunique_kdv,True
16,non unique,,0.5,1e-05,8,algebraic_nonunique_kdv,False
17,non unique,,0.5,0.0001,8,algebraic_nonunique_kdv,False
18,non unique,,0.5,0.001,8,algebraic_nonunique_kdv,False
19,non unique,,0.5,0.01,8,algebraic_nonunique_kdv,False
20,non unique,,0.25,0.0,8,algebraic_nonunique_kdv,False
21,non unique,non unique,0.25,1e-10,8,algebraic_nonunique_kdv,True
22,non unique,non unique,0.25,1e-09,8,algebraic_nonunique_kdv,True
23,non unique,non unique,0.25,1e-08,8,algebraic_nonunique_kdv,True
24,non unique,non unique,0.25,1e-07,8,algebraic_nonunique_kdv,True
25,non unique,non unique,0.25,1e-06,8,algebraic_nonunique_kdv,True
26,non unique,,0.25,1e-05,8,algebraic_nonunique_kdv,False
27,non unique,,0.25,0.0001,8,algebraic_nonunique_kdv,False
28,non unique,,0.25,0.001,8,algebraic_nonunique_kdv,False
29,non unique,,0.25,0.01,8,algebraic_nonunique_kdv,False
30,non unique,,0.1,0.0,8,algebraic_nonunique_kdv,False
31,non unique,non unique,0.1,1e-10,8,algebraic_nonunique_kdv,True
32,non unique,non unique,0.1,1e-09,8,algebraic_nonunique_kdv,True
33,non unique,non unique,0.1,1e-08,8,algebraic_nonunique_kdv,True
34,non unique,non unique,0.1,1e-07,8,algebraic_nonunique_kdv,True
35,non unique,,0.1,1e-06,8,algebraic_nonunique_kdv,False
36,non unique,,0.1,1e-05,8,algebraic_nonunique_kdv,False
37,non unique,,0.1,0.0001,8,algebraic_nonunique_kdv,False
38,non unique,,0.1,0.001,8,algebraic_nonunique_kdv,False
39,non unique,,0.1,0.01,8,algebraic_nonunique_kdv,False
40,non unique,,0.01,0.0,8,algebraic_nonunique_kdv,False
41,non unique,non unique,0.01,1e-10,8,algebraic_nonunique_kdv,True
42,non unique,non unique,0.01,1e-09,8,algebraic_nonunique_kdv,True
43,non unique,non unique,0.01,1e-08,8,algebraic_nonunique_kdv,True
44,non unique,,0.01,1e-07,8,algebraic_nonunique_kdv,False
45,non unique,,0.01,1e-06,8,algebraic_nonunique_kdv,False
46,non unique,,0.01,1e-05,8,algebraic_nonunique_kdv,False
47,non unique,,0.01,0.0001,8,algebraic_nonunique_kdv,False
48,non unique,,0.01,0.001,8,algebraic_nonunique_kdv,False
49,non unique,,0.01,0.01,8,algebraic_nonunique_kdv,False
50,non unique,,0.001,0.0,8,algebraic_nonunique_kdv,False
51,non unique,non unique,0.001,1e-10,8,algebraic_nonunique_kdv,True
52,non unique,non unique,0.001,1e-09,8,algebraic_nonunique_kdv,True
53,non unique,,0.001,1e-08,8,algebraic_nonunique_kdv,False
54,non unique,,0.001,1e-07,8,algebraic_nonunique_kdv,False
55,non unique,,0.001,1e-06,8,algebraic_nonunique_kdv,False
56,non unique,,0.001,1e-05,8,algebraic_nonunique_kdv,False
57,non unique,,0.001,0.0001,8,algebraic_nonunique_kdv,False
58,non unique,,0.001,0.001,8,algebraic_nonunique_kdv,False
59,non unique,,0.001,0.01,8,algebraic_nonunique_kdv,False
60,non unique,,0.0001,0.0,8,algebraic_nonunique_kdv,False
61,non unique,non unique,0.0001,1e-10,8,algebraic_nonunique_kdv,True
62,non unique,,0.0001,1e-09,8,algebraic_nonunique_kdv,False
63,non unique,,0.0001,1e-08,8,algebraic_nonunique_kdv,False
64,non unique,,0.0001,1e-07,8,algebraic_nonunique_kdv,False
65,non unique,,0.0001,1e-06,8,algebraic_nonunique_kdv,False
66,non unique,,0.0001,1e-05,8,algebraic_nonunique_kdv,False
67,non unique,,0.0001,0.0001,8,algebraic_nonunique_kdv,False
68,non unique,,0.0001,0.001,8,algebraic_nonunique_kdv,False
69,non unique,,0.0001,0.01,8,algebraic_nonunique_kdv,False
70,non unique,,1e-05,0.0,8,algebraic_nonunique_kdv,False
71,non unique,,1e-05,1e-10,8,algebraic_nonunique_kdv,False
72,non unique,,1e-05,1e-09,8,algebraic_nonunique_kdv,False
73,non unique,,1e-05,1e-08,8,algebraic_nonunique_kdv,False
74,non unique,,1e-05,1e-07,8,algebraic_nonunique_kdv,False
75,non unique,,1e-05,1e-06,8,algebraic_nonunique_kdv,False
76,non unique,,1e-05,1e-05,8,algebraic_nonunique_kdv,False
77,non unique,,1e-05,0.0001,8,algebraic_nonunique_kdv,False
78,non unique,,1e-05,0.001,8,algebraic_nonunique_kdv,False
79,non unique,,1e-05,0.01,8,algebraic_nonunique_kdv,False
80,non unique,,1e-06,0.0,8,algebraic_nonunique_kdv,False
81,non unique,,1e-06,1e-10,8,algebraic_nonunique_kdv,False
82,non unique,,1e-06,1e-09,8,algebraic_nonunique_kdv,False
83,non unique,,1e-06,1e-08,8,algebraic_nonunique_kdv,False
84,non unique,,1e-06,1e-07,8,algebraic_nonunique_kdv,False
85,non unique,,1e-06,1e-06,8,algebraic_nonunique_kdv,False
86,non unique,,1e-06,1e-05,8,algebraic_nonunique_kdv,False
