noise_level,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,Classification_approx,Classification_exact,ClassificationTrue
0.0,6.24958646439549e-05,-1.52577655864227e-06,0.00019087146252025114,-0.0007695731845995392,unique,nonunique,nonunique
1e-10,6.247819657932256e-05,-1.5266137279658804e-06,0.00019082081197128537,-0.000769573501224205,unique,nonunique,nonunique
1e-09,6.239602960575707e-05,-1.5352279545225047e-06,0.00019059909430711925,-0.0007695760045231398,unique,nonunique,nonunique
1e-08,6.200424953380429e-05,-1.6309052394554132e-06,0.00018971368360394617,-0.0007695868136661665,unique,nonunique,nonunique
1e-07,6.003833885591392e-05,-2.6342948539726066e-06,0.0001870017771667036,-0.0007695304877240879,unique,nonunique,nonunique
1e-06,4.639948754119477e-05,-1.3726424847804855e-05,0.00018175835122292224,-0.0007683203216989062,unique,nonunique,nonunique
1e-05,-7.055210422599979e-05,-0.000134892494343218,0.00023239296531180976,-0.000741461760916323,unique,nonunique,nonunique
0.0001,-0.0010120581560433815,-0.0012355697750121763,0.000951841173150373,-0.0006272861422386739,unique,unique,nonunique
0.001,-0.010050691913234527,-0.011039901492578932,0.01003458545166416,-0.00033546998704404776,unique,unique,nonunique
0.01,-0.09409750691399206,-0.10610650005387506,0.10296075469069912,-0.007863623693757277,unique,unique,nonunique
