noise_level,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,Classification_approx,Classification_exact,ClassificationTrue
0.0,6.624045733375195e-05,-1.3537091535938107e-06,0.00020210553080711075,-0.0005149889829868232,unique,nonunique,nonunique
1e-10,6.62226062069251e-05,-1.3545622986522348e-06,0.0002020542845830707,-0.0005149894038076057,unique,nonunique,nonunique
1e-09,6.615703169168641e-05,-1.3625429559194875e-06,0.00020188132095846513,-0.0005149908064124934,unique,nonunique,nonunique
1e-08,6.5798509624957e-05,-1.458826146490057e-06,0.0002011003308748012,-0.0005149983755911052,unique,nonunique,nonunique
1e-07,6.386664562765525e-05,-2.4539572633757296e-06,0.0001982945997819326,-0.0005151286615476511,unique,nonunique,nonunique
1e-06,5.0813825868037074e-05,-1.3547470082838579e-05,0.0001941886822759291,-0.0005146199624911154,unique,nonunique,nonunique
1e-05,-5.9128727293406185e-05,-0.0001292459252915446,0.00024802428126198057,-0.0004890158119431932,unique,nonunique,nonunique
0.0001,-0.0010954959815004303,-0.0013328746884186701,0.001078530560628638,-0.00032853990077631224,unique,unique,nonunique
0.001,-0.01002334324969274,-0.01112201073225167,0.010318387797345296,0.0014797091388856782,unique,unique,nonunique
0.01,-0.0913348365775285,-0.10336897671744194,0.10091409885717613,0.011960245012025462,unique,unique,nonunique
