,noise_level,order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,C2
0,0.0,2.0,8.97898348343339e-16,0.0018572859487527747,1e-10,5.623358936841702e-07,0.010718396741812148,329841.71478949586,2.96164330924223e-10,362917.87472152465,483890.4996286995,898.927486365945
1,0.0,4.0,1.3197669853224225e-15,0.0018576222520884467,0.0017913378401635794,1.1476237591788919e-07,8.834375584414631e-05,268009.97895820945,3.53710721966002e-10,362917.87472152465,483890.4996286995,898.927486365945
2,0.0,6.0,1.65054909148133e-15,0.001857690885449998,0.0018571160966351283,2.3420890905168256e-08,7.883859840293115e-07,218540.61812485097,3.6071201869774107e-10,362917.87472152465,483890.4996286995,898.927486365945
3,0.0,8.0,2.0667102726877713e-15,0.0018577048922596333,0.0018577030009647541,4.779773565015645e-09,7.2968241772414234e-09,178197.0547927035,3.68281683702786e-10,362917.87472152465,483890.4996286995,898.927486365945
4,1e-10,2.0,2.1654583771495489e-10,0.0018572858832555457,1e-10,5.624170531512101e-07,0.010718396980990344,329841.714790097,7.142585044255877e-05,362917.8747257275,483890.49963430327,898.927484191748
5,1e-10,4.0,3.477189251095432e-10,0.0018576219492534754,0.0017913375716584064,1.1515939892396382e-07,8.834410728784338e-05,268009.97895743087,9.319214180170915e-05,362917.8747257275,483890.49963430327,898.927484191748
6,1e-10,6.0,4.726338025904419e-10,0.0018576894729605677,0.0018571157694187868,2.5294709733167935e-08,7.888154562779635e-07,218540.61812579137,0.00010328968336525844,362917.8747257275,483890.49963430327,898.927484191748
7,1e-10,8.0,6.10405664167005e-10,0.0018577004519614321,0.0018577026294449585,1.0683184945737966e-08,7.78525698906691e-09,178197.05479206942,0.00010877249158295732,362917.8747257275,483890.49963430327,898.927484191748
8,1e-09,2.0,2.0974991835722377e-09,0.0018572854363904864,1e-10,5.630462217158227e-07,0.010718398838391329,329841.71478193504,0.0006918427274631757,362917.8746892905,483890.4995857206,898.9274966279946
9,1e-09,4.0,3.355463518991125e-09,0.0018576196950559562,0.001791335549713795,1.1819387575208893e-07,8.834683350759713e-05,268009.9789679899,0.0008992977071526689,362917.8746892905,483890.4995857206,898.9274966279946
10,1e-09,6.0,4.538116134839952e-09,0.0018576809183737063,0.0018571132918099428,3.6714128907794804e-08,7.921472704823313e-07,218540.61812520013,0.0009917627052318672,362917.8746892905,483890.4995857206,898.9274966279946
11,1e-09,8.0,5.819630324352673e-09,0.0018576869591862438,0.0018576997920500336,2.8674646284838304e-08,1.1595887381505597e-08,178197.05479654705,0.00103704098380432,362917.8746892905,483890.4995857206,898.9274966279946
12,1e-08,2.0,2.1859850362782805e-08,0.0018572810198853838,1e-10,5.693874778218373e-07,0.010718417662505902,329841.7149804301,0.007210290532875857,362917.8747278733,483890.49963716435,898.9276652446401
13,1e-08,4.0,3.48257768769801e-08,0.0018575995758327724,0.0017913151303081871,1.4543326680356294e-07,8.837448090480708e-05,268009.97910449567,0.009333655733097265,362917.8747278733,483890.49963716435,898.9276652446401
14,1e-08,6.0,4.706926401754003e-08,0.0018576394604109445,0.001857088225287673,9.235241587842743e-08,8.259709118268231e-07,218540.6181386199,0.010286546053723098,362917.8747278733,483890.49963716435,898.9276652446401
15,1e-08,8.0,6.065901523936818e-08,0.0018576416329747474,0.0018576708293930923,8.946103456387402e-08,5.0604651076359756e-08,178197.054688555,0.010809257855963582,362917.8747278733,483890.49963716435,898.9276652446401
16,1e-07,2.0,2.084469879295731e-07,0.0018572459131596844,1e-10,6.212608417101516e-07,0.01071857969129482,329841.7143347276,0.06875451184660067,362917.87084759586,483890.4944634611,898.9295285276992
