noise_level,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,Classification_approx,Classification_exact,ClassificationTrue
0.0,-0.2294592637185778,-0.22950994088727855,0.34416996485059614,0.3440334028528932,unique,unique,unique
1e-10,-0.22945928626850315,-0.22950994805737085,0.34416990425663163,0.3440333836493785,unique,unique,unique
1e-09,-0.2294593704625424,-0.2295100190407034,0.3441696770530661,0.34403319199439464,unique,unique,unique
1e-08,-0.22945971034479135,-0.22951075131159515,0.344168760319462,0.3440312191776533,unique,unique,unique
1e-07,-0.22946098256942438,-0.22951778002827328,0.34416541953609525,0.34401238366027587,unique,unique,unique
1e-06,-0.22946574133580325,-0.22958348473322904,0.34415397069849263,0.3438367205319969,unique,unique,unique
1e-05,-0.22947923045142687,-0.23025931577746683,0.3441080175590737,0.34198785621646033,unique,unique,unique
0.0001,-0.22954784562321567,-0.23845445319049577,0.34394893976259777,0.31646904128909226,unique,unique,unique
0.001,-0.2314670946814295,-0.2712405915504894,0.3452559158868672,0.09504344553583259,unique,unique,unique
0.01,-0.3563762974561913,-0.43783835296209694,0.4711149727686459,-0.10421478645671557,unique,unique,unique
